Line number,Character,Off screen,Place,Time,Line,Word count
1,Young man,False,int. coffee shop,morning,"No, forget it, it's too risky. I'm through doin' that shit.",11
2,Young woman,False,int. coffee shop,morning,"You always say that, the same thing every time: never again, I'm through, too dangerous.",15
3,Young man,False,int. coffee shop,morning,"I know that's what I always say. I'm always right too, but –",12
4,Young woman,False,int. coffee shop,morning,– but you forget about it in a day or two -,11
5,Young man,False,int. coffee shop,morning,"– yeah, well, the days of me forgittin' are over, and the days of me rememberin' have just begun.",18
6,Young woman,False,int. coffee shop,morning,"When you go on like this, you know what you sound like?",12
7,Young man,False,int. coffee shop,morning,"I sound like a sensible fucking man, is what I sound like.",12
8,Young woman,False,int. coffee shop,morning,"You sound like a duck. Quack, quack, quack, quack, quack, quack, quack...",12
9,Young man,False,int. coffee shop,morning,"Well take heart, 'cause you're never gonna hafta hear it again. Because since I'm never gonna do it again, you're never gonna hafta hear me quack about how I'm never gonna do it again.",34
10,Young woman,False,int. coffee shop,morning,After tonight.,2
11,Young man,False,int. coffee shop,morning,Correct. I got all tonight to quack.,7
12,Waitress,False,int. coffee shop,morning,Can I get anybody anymore coffee?,6
13,Young woman,False,int. coffee shop,morning,"Oh yes, thank you.",4
14,Young man,False,int. coffee shop,morning,I'm doin' fine.,3
15,Young man,False,int. coffee shop,morning,"I mean the way it is now, you're takin' the same fuckin' risk as when you rob a bank. You take more of a risk. Banks are easier! Federal banks aren't supposed to stop you anyway, during a robbery. They're insured, why should they care? You don't even need a gun in a federal bank. I heard about this guy, walked into a federal bank with a portable phone, handed the phone to the teller, the guy on the other end of the phone said: ""We got this guy's little girl, and if you don't give him all your money, we're gonna kill 'er.""",104
16,Young woman,False,int. coffee shop,morning,Did it work?,3
17,Young man,False,int. coffee shop,morning,"Fuckin' A it worked, that's what I'm talkin' about! Knucklehead walks in a bank with a telephone, not a pistol, not a shotgun, but a fuckin' phone, cleans the place out, and they don't lift a fuckin' finger.",38
18,Young woman,False,int. coffee shop,morning,Did they hurt the little girl?,6
19,Young man,False,int. coffee shop,morning,I don't know. There probably never was a little girl – the point of the story isn't the little girl. The point of the story is they robbed the bank with a telephone.,32
20,Young woman,False,int. coffee shop,morning,You wanna rob banks?,4
21,Young man,False,int. coffee shop,morning,"I'm not sayin' I wanna rob banks, I'm just illustrating that if we did, it would be easier than what we been doin'.",23
22,Young woman,False,int. coffee shop,morning,So you don't want to be a bank robber?,9
23,Young man,False,int. coffee shop,morning,"Naw, all those guys are goin' down the same road, either dead or servin' twenty.",15
24,Young woman,False,int. coffee shop,morning,And no more liquor stores?,5
25,Young man,False,int. coffee shop,morning,"What have we been talking about? Yeah, no more-liquor-stores. Besides, it ain't the giggle it usta be. Too many foreigners own liquor stores. Vietnamese, Koreans, they can't fuckin' speak English. You tell 'em: ""Empty out the register,"" and they don't know what it fuckin' means. They make it too personal. We keep on, one of those gook motherfuckers' gonna make us kill 'em.",63
26,Young woman,False,int. coffee shop,morning,I'm not gonna kill anybody.,5
27,Young man,False,int. coffee shop,morning,"I don't wanna kill anybody either. But they'll probably put us in a situation where it's us of them. And if it's not the gooks, it these old Jews who've owned the store for fifteen fuckin' generations. Ya got Grandpa Irving sittin' behind the counter with a fuckin' Magnum. Try walkin' into one of those stores with nothin' but a telephone, see how far it gets you. Fuck it, forget it, we're out of it.",75
28,Young woman,False,int. coffee shop,morning,"Well, what else is there, day jobs?",7
29,Young man,False,int. coffee shop,morning,Not this life.,3
30,Young woman,False,int. coffee shop,morning,Well what then?,3
31,Young man,False,int. coffee shop,morning,Garcon! Coffee!,2
32,Young man,False,int. coffee shop,morning,This place.,2
33,Waitress,False,int. coffee shop,morning,"""Garcon"" means boy.",3
34,Young woman,False,int. coffee shop,morning,Here? It's a coffee shop.,5
35,Young man,False,int. coffee shop,morning,"What's wrong with that? People never rob restaurants, why not? Bars, liquor stores, gas stations, you get your head blown off stickin' up one of them. Restaurants, on the other hand, you catch with their pants down. They're not expecting to get robbed, or not as expecting.",47
36,Young woman,False,int. coffee shop,morning,I bet in places like this you could cut down on the hero factor.,14
